"Site","Date","LE","lamda","Temp","Precip","ET","ET_corr"
"US-CMW",2019-01-05,21.4983080260085,2489151.026375,5.018625,0,0.799524768130235,1.15914344302563
"US-CMW",2019-01-08,19.624883119885,2486393.7226875,6.18647916666667,0,1.08118378998309,1.38464735233687
"US-CMW",2019-01-09,21.5224154258322,2483131.3125625,7.56827083333333,0,1.42902673914539,1.82614444385176
"US-CMW",2019-01-12,24.5811034901621,2490016.2836875,4.65214583333333,0,1.35486285088164,1.67866512081487
"US-CMW",2019-01-13,17.6097896548096,2478466.1733125,9.5441875,0,0.87152767304285,1.05663441716773
"US-CMW",2019-01-14,12.4150428233385,2484329.44628125,7.06080208333333,0,0.624316663804799,0.756806159620262
"US-CMW",2019-01-15,12.4423130412488,2482476.99584375,7.84540625,0,0.631407215420718,0.771028481297381
"US-CMW",2019-01-18,14.9158936234415,2477614.3441875,9.90497916666667,0,0.864927009898157,1.0597647859504
"US-CMW",2019-01-20,13.3147894900328,2486428.10475,6.17191666666667,0,0.729629077111119,0.869578446866442
"US-CMW",2019-01-21,11.4561109945446,2477331.56525,10.02475,0,0.711175117005077,0.867096221581303
"US-CMW",2019-01-22,5.40499872794713,2483674.36715625,7.33826041666667,0,0.355312668446159,0.422327561403557
"US-CMW",2019-01-23,10.5611292278653,2498468.29478125,1.07230208333333,0,0.875487738681444,1.05082454954553
"US-CMW",2019-01-24,8.26955766442992,2493454.4899375,3.19589583333333,0,0.527796959431702,0.634469753957363
"US-CMW",2019-01-25,11.2443894753741,2491215.0814375,4.14439583333333,0,0.594233517017721,0.714372181323807
"US-CMW",2019-01-26,7.91274813778922,2490237.873375,4.55829166666667,0,0.427843312309232,0.520079051330917
"US-CMW",2019-01-27,9.63030995605715,2489018.34309375,5.07482291666667,0,0.649113615424685,0.773643051292196
"US-CMW",2019-01-28,7.50008947600071,2482124.56740625,7.99467708333333,0,0.500569110504549,0.59442204577675
"US-CMW",2019-01-29,6.44490117853376,2479391.636125,9.15220833333333,0,0.47564961408838,0.564079817511264
"US-CMW",2019-01-30,7.1938080564721,2475689.31759375,10.7203229166667,0,0.38798646260122,0.45335515194482
"US-CMW",2019-01-31,7.62161577880928,2475679.8981875,10.7243125,0,0.536922229286968,0.619686204565516
"US-CMW",2019-02-02,2.38650001785201,2478073.58328125,9.71046875,0,0.55086252884681,0.626967654793032
"US-CMW",2019-02-03,6.52073988976873,2474580.23784375,11.1900729166667,0,0.871203077895586,0.995694683077433
"US-CMW",2019-02-04,17.4915527446154,2470223.1353125,13.0355208333333,0,0.747092059371508,0.857602465064343
